"Name","Description","Sale PRice","MRP","Measuring Unit","Category1","Sub Category1","Image1","Image2","Image3","Image4","Image5"
"Acne Gel 25 Gm"," Content : Clindamycin Phosphate 3% ,   Nicotinamide Phosphate 3% ,  Salicylic acid 1%        Key Benefits : It helps reduce and  prevents acne blemishes, smooth skin  texture, and keeps the oils in check.  ","199","350","PCS","Creams","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/d052bb75-67d5-42e2-9566-c58d5bf842c1/Acne_Gel_1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/d052bb75-67d5-42e2-9566-c58d5bf842c1/Acne_Gel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/d052bb75-67d5-42e2-9566-c58d5bf842c1/Acne_Gel_2.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/d052bb75-67d5-42e2-9566-c58d5bf842c1/Acne_Gel_3.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/d052bb75-67d5-42e2-9566-c58d5bf842c1/Acne_Gel_4.png"
"Acne lightning Peel, 30 ml"," Contents : Resorcinol 15%, Lactic acid 10%, Kojic acid 5%, Salicylic acid 3%, Glycolic acid 25%, Citric acid 10%                                                                                                                                              Key Benefits : In addition to acne scars and age spots, Acne Lightening peel can improve other  forms of hyperpigmentation, such as uneven  skin tone ,melasma ,freckles , surgical scars ,  scars due to injury. ","899","1950","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/cdea0897-9930-4a8e-a8ae-a06339060ef4/Acne_And_Lightening_Peel.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/cdea0897-9930-4a8e-a8ae-a06339060ef4/Acne_and_lightning_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/cdea0897-9930-4a8e-a8ae-a06339060ef4/Acne_and_lightning_01_.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/cdea0897-9930-4a8e-a8ae-a06339060ef4/Acne_and_lightning_02_.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/cdea0897-9930-4a8e-a8ae-a06339060ef4/Acne_and_lightning_03_.png"
"Argan oil 15 ml","  Key Benefits : Use argan oil as a styling product  to smooth your hair and tone down frizz. It can  also protect your hair from heat styling.  ","225","","PCS","Hair Products","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/5905dfa8-9472-4f7c-b336-64523674ccb7/Morroccan_Argan_Oil_1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/5905dfa8-9472-4f7c-b336-64523674ccb7/morrocan_argan_oil_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/5905dfa8-9472-4f7c-b336-64523674ccb7/Morroccan_Argan_Oil_4.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/5905dfa8-9472-4f7c-b336-64523674ccb7/Morroccan_Argan_Oil_3.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/5905dfa8-9472-4f7c-b336-64523674ccb7/Morroccan_Argan_Oil_2.png"
"Argee Peel, 30 ml"," Contents : Arginine 20%, Lactic acid 40%, Key Benefits : Arginine improves collagen,
 increases elasticity and hydrates the skin ","899","2250","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/330bf11c-55d0-46cf-aeb2-280a704b6c35/Argee_Peel_Mockup.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/330bf11c-55d0-46cf-aeb2-280a704b6c35/Argee_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/330bf11c-55d0-46cf-aeb2-280a704b6c35/Argee_Peel_01_.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/330bf11c-55d0-46cf-aeb2-280a704b6c35/Argee_Peel_02_.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/330bf11c-55d0-46cf-aeb2-280a704b6c35/Argee_Peel_04_.png"
"Bio Peel 50 gm"," Contents : Resorcinol 10%,  Zinc oxide 10%, Starch 6%,  White soft paraffin  ","295","","PCS","Creams","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/e23ebf3d-d787-4d91-9ecb-6bd466b7059f/Bio_Peel_1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/e23ebf3d-d787-4d91-9ecb-6bd466b7059f/Bio_Peel_2.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/e23ebf3d-d787-4d91-9ecb-6bd466b7059f/Bio_Peel_3.png","",""
"Black Peel, 30 ml"," Contents : Black Acetic Acid 10%, Bio Sulphur 2%, Jasmonic Acid 2% Salicylic Acid 15%, Lactic Acid 30%, Potassium Iodide 5%                                                                                                           Key Benefits :Black peel treatment works on acne of all types of black heads, white heads, pimples, pustules,  nodules and cysts as well as acne pigments, scars, brown  spots, fine lines and wrinkles are visibly reduced and  younger looking skin appears  ","1150","3150","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/a9074a0c-6ce0-4ed9-baff-b4f855d2d4b4/Black_Peel_mockup.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/a9074a0c-6ce0-4ed9-baff-b4f855d2d4b4/Black_Peel_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/a9074a0c-6ce0-4ed9-baff-b4f855d2d4b4/Black_Peel_01.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/a9074a0c-6ce0-4ed9-baff-b4f855d2d4b4/Black_Peel_02.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/a9074a0c-6ce0-4ed9-baff-b4f855d2d4b4/Black_Peel_04.png"
"Booster Peel for Acne, 30 ml"," Contents : Mandelic acid 20%, Citric acid 10%                                                                                                                           Key Benefits : It Reduces help your post-pimple  marks fade away. unclog your pores and removes blackheads  ","650","1350","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/3e055144-14f2-424a-a54b-ce7aa55d1fc2/Booster_peel_for_Acne.jpg","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/3e055144-14f2-424a-a54b-ce7aa55d1fc2/Booster_Peel_for_Acne.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/3e055144-14f2-424a-a54b-ce7aa55d1fc2/BP_ACNE_01.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/3e055144-14f2-424a-a54b-ce7aa55d1fc2/BP_ACNE_02.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/3e055144-14f2-424a-a54b-ce7aa55d1fc2/BP_ACNE_04.png"
"Booster Peel for Antiaging, 30 ml"," Contents : 20% Citric Acid  Key Benefits : This peel significantly improves  the skin’s ability to retain moisture and  reactivate cell renewal while reducing pigment  based lesions and blemishes . ","599","1230","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/82690241-74a4-4446-8d00-c17b5ecb6578/Booster_for_anti_ageing.jpg","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/82690241-74a4-4446-8d00-c17b5ecb6578/Booster_Peel_for_Antiaging_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/82690241-74a4-4446-8d00-c17b5ecb6578/BP_ANTIAGING_01.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/82690241-74a4-4446-8d00-c17b5ecb6578/BP_ANTIAGING_02.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/82690241-74a4-4446-8d00-c17b5ecb6578/BP_ANTIAGING_04.png"
"Booster Peel for Brightening, 30 ml"," Contents : Kojic acid 3%, Arbutin1%, Citric acid 10%, Vitamin 'C base                                            Key Benefits : It helps to renew and brightens skin with dark spots, uneven tone, blemishes  and signs of photoaging. Reactivates cell.  ","1250","5250","UNT","Combination Peels","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/8159bfbb-7584-4e35-a1cf-f7a2c5b4ad30/booster_for_brightening.jpg","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/8159bfbb-7584-4e35-a1cf-f7a2c5b4ad30/Booster_Peel_for_Brightening_PD.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/8159bfbb-7584-4e35-a1cf-f7a2c5b4ad30/BP__BRIGHTENING_01.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/8159bfbb-7584-4e35-a1cf-f7a2c5b4ad30/BP__BRIGHTENING_02.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/8159bfbb-7584-4e35-a1cf-f7a2c5b4ad30/BP__BRIGHTENING_04.png"
"Collagen Serum , 30 ml"," Contents : Arginine 5%, Citamin C 20%, Vitamin E  Benefits : Collagen Serums helps Skin Tightening Anti Ageing Skin Firming Raidiance and Glow. ","550","1650","UNT","Serums","","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/4fc42a95-d04a-42c5-9cc7-01706a03ecaf/Collagen_serum.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/4fc42a95-d04a-42c5-9cc7-01706a03ecaf/Collagen_Serum.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/4fc42a95-d04a-42c5-9cc7-01706a03ecaf/Collagen_Serum_-_4.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/4fc42a95-d04a-42c5-9cc7-01706a03ecaf/Collagen_serum_-1.png","https://prod-flobooks-public.s3.amazonaws.com/uploads/thumbnail/thumbnail_images/4fc42a95-d04a-42c5-9cc7-01706a03ecaf/Collagen_Serum-_2.png"
